a,x,n,time_ms
7,1009,1000000007,0.0331
7,1009,1000000000000037,0.0139
7,1000003,1000000007,0.0072
7,1000003,1000000000000037,0.0056
7,1000000007,1000000007,0.0081
7,1000000007,1000000000000037,0.0046
7,1000000000039,1000000007,0.0024
7,1000000000039,1000000000000037,0.0042
7,100000000000031,1000000007,0.0066
7,100000000000031,1000000000000037,0.0097
7,10000000000000061,1000000007,0.0063
7,10000000000000061,1000000000000037,0.0162
7,1000000000000000003,1000000007,0.0100
7,1000000000000000003,1000000000000037,0.0124
7,100000000000000000039,1000000007,0.0111
7,100000000000000000039,1000000000000037,0.0088
7,1000000000000000000000000000057,1000000007,0.0294
7,1000000000000000000000000000057,1000000000000037,0.0128
7,100000000000000000000000000000000000000000000000151,1000000007,0.0185
7,100000000000000000000000000000000000000000000000151,1000000000000037,0.0421
29,1009,1000000007,0.0024
29,1009,1000000000000037,0.0048
29,1000003,1000000007,0.0121
29,1000003,1000000000000037,0.0044
29,1000000007,1000000007,0.0043
29,1000000007,1000000000000037,0.0094
29,1000000000039,1000000007,0.0043
29,1000000000039,1000000000000037,0.0072
29,100000000000031,1000000007,0.0036
29,100000000000031,1000000000000037,0.0054
29,10000000000000061,1000000007,0.0031
29,10000000000000061,1000000000000037,0.0071
29,1000000000000000003,1000000007,0.0039
29,1000000000000000003,1000000000000037,0.0138
29,100000000000000000039,1000000007,0.0055
29,100000000000000000039,1000000000000037,0.0095
29,1000000000000000000000000000057,1000000007,0.0112
29,1000000000000000000000000000057,1000000000000037,0.0298
29,100000000000000000000000000000000000000000000000151,1000000007,0.0167
29,100000000000000000000000000000000000000000000000151,1000000000000037,0.0248
